# NEUROPLAST-ANN - Test Exhaustif XOR Médical Simulé
# Dataset: Médical simulé (0 échantillons, 8 features)
# Architecture: Input(8)→256→128→Output(1)
# Total combinaisons: 567
# Essais par combinaison: 5
# Époques max: 50
# Features médicales: Age, Cholestérol, Tension, BMI, Exercice, Tabac, Antécédents, Stress
# Modèle de risque: Interactions complexes + bruit réaliste
# Toutes les métriques: Accuracy, Precision, Recall, F1-Score, AUC-ROC
#
Rang,Methode,Optimiseur,Activation,Combinaison_Complete,Avg_Accuracy_Pct,Avg_Precision_Pct,Avg_Recall_Pct,Avg_F1_Score_Pct,Avg_AUC_ROC_Pct,Best_Accuracy_Pct,Best_Precision_Pct,Best_Recall_Pct,Best_F1_Score_Pct,Best_AUC_ROC_Pct,Convergence_Count,Total_Trials,Taux_Convergence_Pct
1,standard,adamw,neuroplast,standard+adamw+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
2,standard,adamw,relu,standard+adamw+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
3,standard,adamw,leaky_relu,standard+adamw+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
4,standard,adamw,gelu,standard+adamw+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
5,standard,adamw,sigmoid,standard+adamw+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
6,standard,adamw,elu,standard+adamw+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
7,standard,adamw,mish,standard+adamw+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
8,standard,adamw,swish,standard+adamw+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
9,standard,adamw,prelu,standard+adamw+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
10,standard,adam,neuroplast,standard+adam+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
11,standard,adam,relu,standard+adam+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
12,standard,adam,leaky_relu,standard+adam+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
13,standard,adam,gelu,standard+adam+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
14,standard,adam,sigmoid,standard+adam+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
15,standard,adam,elu,standard+adam+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
16,standard,adam,mish,standard+adam+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
17,standard,adam,swish,standard+adam+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
18,standard,adam,prelu,standard+adam+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
19,standard,sgd,neuroplast,standard+sgd+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
20,standard,sgd,relu,standard+sgd+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
21,standard,sgd,leaky_relu,standard+sgd+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
22,standard,sgd,gelu,standard+sgd+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
23,standard,sgd,sigmoid,standard+sgd+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
24,standard,sgd,elu,standard+sgd+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
25,standard,sgd,mish,standard+sgd+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
26,standard,sgd,swish,standard+sgd+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
27,standard,sgd,prelu,standard+sgd+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
28,standard,rmsprop,neuroplast,standard+rmsprop+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
29,standard,rmsprop,relu,standard+rmsprop+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
30,standard,rmsprop,leaky_relu,standard+rmsprop+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
31,standard,rmsprop,gelu,standard+rmsprop+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
32,standard,rmsprop,sigmoid,standard+rmsprop+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
33,standard,rmsprop,elu,standard+rmsprop+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
34,standard,rmsprop,mish,standard+rmsprop+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
35,standard,rmsprop,swish,standard+rmsprop+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
36,standard,rmsprop,prelu,standard+rmsprop+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
37,standard,lion,neuroplast,standard+lion+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
38,standard,lion,relu,standard+lion+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
39,standard,lion,leaky_relu,standard+lion+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
40,standard,lion,gelu,standard+lion+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
41,standard,lion,sigmoid,standard+lion+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
42,standard,lion,elu,standard+lion+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
43,standard,lion,mish,standard+lion+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
44,standard,lion,swish,standard+lion+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
45,standard,lion,prelu,standard+lion+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
46,standard,adabelief,neuroplast,standard+adabelief+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
47,standard,adabelief,relu,standard+adabelief+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
